Minuto,Factor_Carga,Temp_Ambiente,Temp_Aceite,Temp_Punto_Caliente,Vida_min,Vida_dias
2,0.1082,18.271,33.43117167055926,33.19545127154511,0.8454280340245797,0.0005871028014059581
2,0.1082,18.271,33.000918996587,32.96671824230848,0.8503417994689151,0.00059051513852008
2,0.1082,18.271,32.6222966434914,32.76543802648002,0.8551426242785076,0.0005938490446378525
2,0.1082,18.271,32.28910897276728,32.58831316865803,0.8598462115766824,0.0005971154247060294
2,0.1082,18.271,31.995903822530053,32.43244391238436,0.8644658606771477,0.0006003235143591303
2,0.1082,18.271,31.737883290321292,32.295279187795536,0.8690128842521875,0.0006034811696195747
2,0.1082,18.271,31.510825221977584,32.174574309061676,0.8734969424547496,0.0006065950989269094
2,0.1082,18.271,31.31101412183512,32.068354043955985,0.8779263127967529,0.0006096710505533007
2,0.1082,18.271,31.135180353709753,31.974880220727293,0.8823081098197172,0.0006127139651525814
3,0.10868,18.224,30.975455102371814,31.897343683365193,0.8866508327185174,0.0006157297449434149
3,0.10868,18.224,30.834896881194428,31.8235108327987,0.8909566718627506,0.000618719911015799
3,0.10868,18.224,30.71120564655833,31.756537675125955,0.8952293250921945,0.000621687031314024
3,0.10868,18.224,30.602357360078564,31.69688692166886,0.8994726361494375,0.0006246337751037761
3,0.10868,18.224,30.506570867976368,31.64413912480337,0.9036901685160708,0.0006275626170250491
3,0.10868,18.224,30.422278754926435,31.59762994433915,0.907885101055291,0.0006304757646217299
3,0.10868,18.224,30.348101695442494,31.556669322951144,0.9120602302472962,0.0006333751598939558
3,0.10868,18.224,30.282825883096628,31.520612353779878,0.9162180042584912,0.0006362625029572856
3,0.10868,18.224,30.225383168232263,31.488878070069944,0.9203605634099395,0.0006391392801457914
3,0.10868,18.224,30.174833579151624,31.46095041796262,0.9244897788403255,0.0006420067908613371
3,0.10868,18.224,30.13034994076066,31.4363735546644,0.9286072871035128,0.0006448661715996617
3,0.10868,18.224,30.091204338976613,31.4147457258749,0.9327145204295543,0.0006477184169649682
3,0.10868,18.224,30.05675620940665,31.395713169009046,0.9368127329907473,0.0006505643979102412
3,0.10868,18.224,30.026441855385084,31.378964494848848,0.9409030236577449,0.0006534048775401006
