SERIE,FECHA,HI,DGA,ACE,ARR,AIS,NUC,OLTC,BUS
146659T2,2023-08-28,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2025-02-06,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2025-06-08,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-15,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
146659T3,2014-03-20,1.1920185078079815,1.0,2.5384615384615383,1.0,1.0,1.0,,1.5714285714285714
