SERIE;FECHA DE MUESTRA;HI;DGA;ACE
P186256;26/02/2025;1.214285714;1.3;1
P186257;26/02/2025;1.214285714;1.3;1
PA 277 - 01;26/02/2025;1.3;1.3;
PA 277 - 02;26/02/2025;1;1;
PA 277 - 03;26/02/2025;1;;1
PA196-01-04;26/02/2025;1;;1
PA277 -01;26/02/2025;1;;1
PA277- 02;26/02/2025;1;;1
PT9003-01;26/02/2025;1.12987013;1;1.454545455
V101038;26/02/2025;1.214285714;1.3;1
V101039;26/02/2025;1.214285714;1.3;1
V101040;26/02/2025;1.214285714;1.3;1
V101041;26/02/2025;1.214285714;1.3;1
V101042;26/02/2025;1.214285714;1.3;1
V101043;26/02/2025;1.214285714;1.3;1
V101044;26/02/2025;1;;1
V147101;26/02/2025;1;1;1
V147102;26/02/2025;1;1;1
V147103;26/02/2025;1;1;1
V147104;26/02/2025;1.555555556;;1.555555556
V147105;26/02/2025;1.214285714;1.3;1
V147106;26/02/2025;1;1;1
V147107;26/02/2025;1.214285714;1.3;1
V163201;26/02/2025;1;1;1
V180401;26/02/2025;1;1;1
V180402;26/02/2025;1;1;1
V180403;26/02/2025;1;1;1
59571;25/02/2025;1.642857143;1.9;1
59572;25/02/2025;1.694805195;1.9;1.181818182
59573;25/02/2025;1.321428571;1.45;1
100138;25/02/2025;1;1;1
146916;25/02/2025;1.214285714;1.3;1
146917;25/02/2025;1.214285714;1.3;1
146918;25/02/2025;1.214285714;1.3;1
147400;25/02/2025;1.214285714;1.3;1
185466;25/02/2025;1.081632653;1;1.285714286
185519;25/02/2025;1.321428571;1.45;1
185634;25/02/2025;1.642857143;1.9;1
185635;25/02/2025;1.642857143;1.9;1
185636;25/02/2025;1.642857143;1.9;1
185765;25/02/2025;1.214285714;1.3;1
185766;25/02/2025;1.214285714;1.3;1
185767;25/02/2025;1.214285714;1.3;1
338118;25/02/2025;3.7;3.7;
359110;25/02/2025;1;1;1
359111;25/02/2025;1.214285714;1.3;1
364072;25/02/2025;1;1;1
364073;25/02/2025;1;1;1
364074;25/02/2025;1.214285714;1.3;1
364075;25/02/2025;1.214285714;1.3;1
364076;25/02/2025;3;3;
364077;25/02/2025;1.214285714;1.3;1
364078;25/02/2025;1.214285714;1.3;1
